study,proxy,Source,Age,norm,Country,norm_leoss
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,92,0.724,Argentina,0.7213481412436659
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,93,0.724,Argentina,0.7205687938198359
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,94,0.724,Argentina,0.7199690385624179
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,95,0.724,Argentina,0.7195425954472954
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,96,0.724,Argentina,0.7192831844503508
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,97,0.724,Argentina,0.7191845255474677
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,98,0.724,Argentina,0.719240338714529
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,99,0.724,Argentina,0.719444343927418
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,100,0.724,Argentina,0.7197902611620176
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,18,0.957,Korea,0.9506225131279625
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,19,0.957,Korea,0.9527585270651882
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,20,0.957,Korea,0.9546669410845244
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,21,0.957,Korea,0.9563462107280364
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,22,0.957,Korea,0.9577947915377889
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,23,0.957,Korea,0.9590111390558467
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,24,0.957,Korea,0.9599937088242748
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,25,0.958,Korea,0.9607409563851381
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,26,0.958,Korea,0.9612513372805017
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,27,0.958,Korea,0.9615233070524306
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,28,0.958,Korea,0.9615553212429893
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,29,0.958,Korea,0.9613383366080623
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,30,0.958,Korea,0.9608682407837426
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,31,0.958,Korea,0.9601508856324066
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,32,0.958,Korea,0.9591921230164324
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,33,0.958,Korea,0.9579978047981967
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,34,0.958,Korea,0.9565737828400774
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,35,0.949,Korea,0.9549259090044512
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,36,0.949,Korea,0.9530600351536958
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,37,0.949,Korea,0.9509820131501879
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,38,0.949,Korea,0.9486976948563056
